subject_id,rt,is_correct,response_text,target,angle,targetFreq,outer_loop_iteration
37mv25m0z1,6712,1,pim,pim,15,HF,NA
37mv25m0z1,3656,1,gled,gled,60,HF,NA
37mv25m0z1,6924,0,grom,blit,150,LF,NA
37mv25m0z1,7973,0,grom,gorm,240,HF,NA
37mv25m0z1,3043,1,noobda,noobda,195,HF,NA
37mv25m0z1,9521,1,grah,grah,105,LF,NA
3h7y2h34t3,5430,1,clate,clate,285,LF,NA
3h7y2h34t3,5933,1,pim,pim,60,HF,NA
3h7y2h34t3,3291,1,grah,grah,195,HF,NA
3h7y2h34t3,8060,1,noobda,noobda,15,HF,NA
3h7y2h34t3,5446,1,gorm,gorm,105,LF,NA
3h7y2h34t3,3754,1,noom,noom,240,HF,NA
3h7y2h34t3,4092,1,gled,gled,150,LF,NA
3h7y2h34t3,3742,1,blit,blit,330,LF,NA
3kog23fzrk,9570,1,noobda,noobda,105,LF,NA
3kog23fzrk,4330,1,grah,grah,195,HF,NA
3kog23fzrk,2794,1,pim,pim,240,HF,NA
3kog23fzrk,3306,1,clate,clate,150,LF,NA
3kog23fzrk,8484,1,noom,noom,330,LF,NA
3kog23fzrk,9020,0,gled,gorm,15,HF,NA
3kog23fzrk,2858,1,blit,blit,285,LF,NA
3kog23fzrk,3607,1,gled,gled,60,HF,NA
3qkywmtj6u,5657,1,clate,clate,60,HF,NA
3qkywmtj6u,3953,1,blit,blit,240,HF,NA
3qkywmtj6u,2815,1,pim,pim,150,LF,NA
3qkywmtj6u,5779,1,noom,noom,285,LF,NA
3qkywmtj6u,3383,0,gorm,gled,330,LF,NA
3qkywmtj6u,5588,1,gorm,gorm,15,HF,NA
3qkywmtj6u,7298,1,noobda,noobda,105,LF,NA
3qkywmtj6u,3592,0,gled,grah,195,HF,NA
3tmbt3lrc9,6734,1,noobda,noobda,285,LF,NA
3tmbt3lrc9,5140,1,gorm,gorm,105,LF,NA
3tmbt3lrc9,3233,1,gled,gled,60,HF,NA
3tmbt3lrc9,3405,1,clate,clate,15,HF,NA
3tmbt3lrc9,9829,1,noom,noom,195,HF,NA
3tmbt3lrc9,3172,1,pim,pim,330,LF,NA
3tmbt3lrc9,4588,1,blit,blit,150,LF,NA
3tmbt3lrc9,6261,1,grah,grah,240,HF,NA
3vkvs43hms,3710,1,gorm,gorm,195,HF,NA
3vkvs43hms,3879,1,noobda,noobda,240,HF,NA
3vkvs43hms,3381,1,gled,gled,60,HF,NA
3vkvs43hms,4631,1,grah,grah,285,LF,NA
3vkvs43hms,4832,0,gled,blit,15,HF,NA
3vkvs43hms,4814,1,clate,clate,105,LF,NA
3vkvs43hms,2401,1,pim,pim,150,LF,NA
3vkvs43hms,2998,1,noom,noom,330,LF,NA
3vy59ur9wu,7865,0,pim,gorm,195,HF,NA
3vy59ur9wu,8036,0,gled,clate,330,LF,NA
3vy59ur9wu,4178,1,pim,pim,150,LF,NA
3vy59ur9wu,242,0,NA,noobda,240,HF,NA
3vy59ur9wu,8380,0,clate,grah,60,HF,NA
3vy59ur9wu,6578,0,noom,blit,105,LF,NA
3vy59ur9wu,6738,0,grah,noom,285,LF,NA
3vy59ur9wu,9700,0,blit,gled,15,HF,NA
48345bnnyx,3604,1,noobda,noobda,15,HF,NA
48345bnnyx,9181,1,clate,clate,195,HF,NA
48345bnnyx,2062,1,gorm,gorm,60,HF,NA
48345bnnyx,2698,1,blit,blit,240,HF,NA
48345bnnyx,12462,0,grah,noom,330,LF,NA
48345bnnyx,15292,1,grah,grah,285,LF,NA
48345bnnyx,11644,1,gled,gled,150,LF,NA
48345bnnyx,4409,1,pim,pim,105,LF,NA
49vcv3f2hj,3556,0,grom,gorm,150,LF,NA
49vcv3f2hj,3119,1,noom,noom,285,LF,NA
49vcv3f2hj,3246,1,clate,clate,330,LF,NA
49vcv3f2hj,2197,1,blit,blit,195,HF,NA
49vcv3f2hj,2714,1,noobda,noobda,240,HF,NA
49vcv3f2hj,3118,1,pim,pim,105,LF,NA
49vcv3f2hj,2639,1,grah,grah,15,HF,NA
49vcv3f2hj,1558,1,gled,gled,60,HF,NA
4efyfjjlpj,16618,1,noobda,noobda,330,LF,NA
4efyfjjlpj,5734,1,grah,grah,285,LF,NA
4efyfjjlpj,6592,1,noom,noom,195,HF,NA
4efyfjjlpj,2918,1,pim,pim,150,LF,NA
4efyfjjlpj,2115,1,blit,blit,105,LF,NA
4efyfjjlpj,5867,1,gorm,gorm,60,HF,NA
4efyfjjlpj,3824,1,clate,clate,240,HF,NA
4efyfjjlpj,3067,1,gled,gled,15,HF,NA
4fwyjkj1za,2271,1,gorm,gorm,60,HF,NA
4fwyjkj1za,1877,1,gled,gled,15,HF,NA
4fwyjkj1za,3127,1,noom,noom,285,LF,NA
4fwyjkj1za,3363,1,grah,grah,240,HF,NA
4fwyjkj1za,2001,1,blit,blit,195,HF,NA
4fwyjkj1za,1585,1,pim,pim,105,LF,NA
4fwyjkj1za,2069,1,clate,clate,330,LF,NA
4fwyjkj1za,2688,1,noobda,noobda,150,LF,NA
4ru9b8o7dw,5214,1,grah,grah,285,LF,NA
4ru9b8o7dw,3237,1,clate,clate,240,HF,NA
4ru9b8o7dw,4191,1,gorm,gorm,105,LF,NA
4ru9b8o7dw,2869,1,pim,pim,60,HF,NA
4ru9b8o7dw,13114,1,noobda,noobda,150,LF,NA
4ru9b8o7dw,3243,1,gled,gled,330,LF,NA
4ru9b8o7dw,4763,1,noom,noom,15,HF,NA
4ru9b8o7dw,3425,1,blit,blit,195,HF,NA
4wgsho2y5e,3420,1,pim,pim,285,LF,NA
4wgsho2y5e,2719,1,clate,clate,105,LF,NA
4wgsho2y5e,3536,1,gorm,gorm,60,HF,NA
4wgsho2y5e,4606,1,noobda,noobda,195,HF,NA
4wgsho2y5e,1919,1,noom,noom,240,HF,NA
4wgsho2y5e,2303,1,blit,blit,15,HF,NA
4wgsho2y5e,2926,1,grah,grah,150,LF,NA
4wgsho2y5e,4063,1,gled,gled,330,LF,NA
5jspkcsw6z,3634,1,noobda,noobda,240,HF,NA
5jspkcsw6z,3515,1,clate,clate,195,HF,NA
5jspkcsw6z,3683,1,noom,noom,105,LF,NA
5jspkcsw6z,3334,1,gled,gled,15,HF,NA
