block_id,trial_id,target_name,target_frequency,target_angle,target_side,foil_name,foil_frequency,foil_angle,foil_side
3,5,noobda,high,240,left,blit,high,15,right
3,6,noom,low,330,right,gled,low,285,left
3,7,clate,high,195,left,noom,low,330,right
3,8,pim,low,105,left,noom,low,330,right
3,9,clate,high,195,right,grah,high,60,left
3,10,blit,high,15,left,gorm,low,150,right
3,11,grah,high,60,left,clate,high,195,right
3,12,gled,low,285,left,noobda,high,240,right
3,13,clate,high,195,left,pim,low,105,right
3,14,noobda,high,240,right,clate,high,195,left
3,15,blit,high,15,right,grah,high,60,left
3,16,gorm,low,150,right,blit,high,15,left
3,17,pim,low,105,right,gorm,low,150,left
3,18,noobda,high,240,right,gled,low,285,left
3,19,gled,low,285,right,blit,high,15,left
3,20,grah,high,60,left,noobda,high,240,right
3,21,gorm,low,150,left,clate,high,195,right
3,22,blit,high,15,left,grah,high,60,right
3,23,grah,high,60,left,noobda,high,240,right
3,24,clate,high,195,right,grah,high,60,left
4,1,blit,high,15,right,gorm,low,150,left
4,2,noobda,high,240,right,pim,low,105,left
4,3,gled,low,285,left,blit,high,15,right
4,4,noom,low,330,left,grah,high,60,right
4,5,blit,high,15,left,grah,high,60,right
4,6,noobda,high,240,left,clate,high,195,right
4,7,blit,high,15,left,clate,high,195,right
4,8,clate,high,195,left,grah,high,60,right
4,9,blit,high,15,left,noobda,high,240,right
4,10,grah,high,60,left,pim,low,105,right
4,11,clate,high,195,right,blit,high,15,left
4,12,grah,high,60,right,noobda,high,240,left
4,13,gled,low,285,right,grah,high,60,left
4,14,gorm,low,150,right,gled,low,285,left
4,15,clate,high,195,right,blit,high,15,left
4,16,pim,low,105,right,noom,low,330,left
4,17,grah,high,60,left,noom,low,330,right
4,18,pim,low,105,left,noobda,high,240,right
4,19,noobda,high,240,right,clate,high,195,left
4,20,clate,high,195,right,gled,low,285,left
4,21,noom,low,330,right,noobda,high,240,left
4,22,grah,high,60,left,blit,high,15,right
4,23,noobda,high,240,right,gorm,low,150,left
4,24,gorm,low,150,left,clate,high,195,right
5,1,noobda,high,240,left,grah,high,60,right
5,2,gled,low,285,left,pim,low,105,right
5,3,gorm,low,150,left,noom,low,330,right
5,4,blit,high,15,right,grah,high,60,left
5,5,noobda,high,240,right,gorm,low,150,left
5,6,blit,high,15,left,grah,high,60,right
5,7,clate,high,195,left,blit,high,15,right
5,8,grah,high,60,right,gorm,low,150,left
5,9,noobda,high,240,right,gled,low,285,left
5,10,grah,high,60,right,noom,low,330,left
5,11,clate,high,195,right,noobda,high,240,left
5,12,grah,high,60,left,noobda,high,240,right
5,13,blit,high,15,left,pim,low,105,right
5,14,clate,high,195,left,blit,high,15,right
5,15,pim,low,105,right,clate,high,195,left
5,16,noom,low,330,left,blit,high,15,right
5,17,blit,high,15,right,noobda,high,240,left
5,18,clate,high,195,right,gled,low,285,left
5,19,gled,low,285,left,clate,high,195,right
5,20,noobda,high,240,left,clate,high,195,right
5,21,grah,high,60,left,noobda,high,240,right
5,22,gorm,low,150,right,grah,high,60,left
5,23,noom,low,330,right,blit,high,15,left
5,24,pim,low,105,right,clate,high,195,left
6,1,grah,high,60,left,clate,high,195,right
6,2,pim,low,105,right,gled,low,285,left
6,3,noobda,high,240,left,noom,low,330,right
6,4,gled,low,285,right,grah,high,60,left
6,5,blit,high,15,left,noobda,high,240,right
6,6,gorm,low,150,left,grah,high,60,right
6,7,blit,high,15,right,clate,high,195,left
6,8,noom,low,330,left,blit,high,15,right
6,9,noobda,high,240,right,gled,low,285,left
6,10,noom,low,330,left,noobda,high,240,right
6,11,grah,high,60,right,blit,high,15,left
6,12,clate,high,195,left,blit,high,15,right
6,13,grah,high,60,right,clate,high,195,left
6,14,clate,high,195,right,noobda,high,240,left
6,15,noobda,high,240,right,clate,high,195,left
6,16,clate,high,195,left,grah,high,60,right
6,17,blit,high,15,right,gorm,low,150,left
6,18,pim,low,105,left,gorm,low,150,right
6,19,grah,high,60,right,pim,low,105,left
6,20,clate,high,195,left,grah,high,60,right
6,21,noobda,high,240,left,noom,low,330,right
6,22,blit,high,15,right,noobda,high,240,left
6,23,gled,low,285,right,blit,high,15,left
6,24,gorm,low,150,left,pim,low,105,right
7,1,blit,high,15,right,noobda,high,240,left
7,2,noobda,high,240,left,gorm,low,150,right
7,3,clate,high,195,left,noobda,high,240,right
7,4,noobda,high,240,right,noom,low,330,left
7,5,gorm,low,150,right,grah,high,60,left
7,6,grah,high,60,right,noobda,high,240,left
7,7,blit,high,15,left,noobda,high,240,right
7,8,noom,low,330,left,clate,high,195,right
7,9,clate,high,195,left,pim,low,105,right
7,10,pim,low,105,left,gled,low,285,right
7,11,noobda,high,240,right,pim,low,105,left
7,12,blit,high,15,right,noom,low,330,left
7,13,pim,low,105,right,blit,high,15,left
7,14,gled,low,285,left,blit,high,15,right
7,15,grah,high,60,right,gled,low,285,left
7,16,gorm,low,150,left,grah,high,60,right
7,17,gled,low,285,right,grah,high,60,left
7,18,grah,high,60,left,clate,high,195,right
7,19,noom,low,330,left,grah,high,60,right
7,20,clate,high,195,right,blit,high,15,left
7,21,noobda,high,240,right,clate,high,195,left
7,22,blit,high,15,right,gorm,low,150,left
7,23,clate,high,195,left,blit,high,15,right
7,24,grah,high,60,left,clate,high,195,right
8,1,blit,high,15,right,grah,high,60,left
8,2,gorm,low,150,left,blit,high,15,right
8,3,noom,low,330,left,clate,high,195,right
8,4,grah,high,60,left,noobda,high,240,right
8,5,clate,high,195,left,blit,high,15,right
8,6,pim,low,105,left,gorm,low,150,right
8,7,gorm,low,150,right,grah,high,60,left
8,8,blit,high,15,left,gled,low,285,right
8,9,grah,high,60,right,gled,low,285,left
8,10,blit,high,15,left,clate,high,195,right
8,11,noobda,high,240,right,gorm,low,150,left
8,12,clate,high,195,right,pim,low,105,left
8,13,gled,low,285,right,clate,high,195,left
8,14,noobda,high,240,left,blit,high,15,right
8,15,clate,high,195,right,noobda,high,240,left
8,16,grah,high,60,left,noobda,high,240,right
8,17,noobda,high,240,right,clate,high,195,left
8,18,grah,high,60,right,noobda,high,240,left
8,19,pim,low,105,left,grah,high,60,right
8,20,gled,low,285,left,pim,low,105,right
8,21,noom,low,330,right,grah,high,60,left
8,22,noobda,high,240,right,noom,low,330,left
8,23,blit,high,15,right,noom,low,330,left
8,24,clate,high,195,left,blit,high,15,right
9,1,blit,high,15,right,gled,low,285,left
9,2,gled,low,285,right,pim,low,105,left
9,3,clate,high,195,left,blit,high,15,right
9,4,gorm,low,150,right,grah,high,60,left
9,5,clate,high,195,left,grah,high,60,right
9,6,grah,high,60,left,clate,high,195,right
9,7,clate,high,195,right,noobda,high,240,left
9,8,noobda,high,240,left,noom,low,330,right
9,9,grah,high,60,right,blit,high,15,left
9,10,noobda,high,240,right,gorm,low,150,left
9,11,blit,high,15,right,noobda,high,240,left
9,12,clate,high,195,left,pim,low,105,right
9,13,noobda,high,240,left,clate,high,195,right
9,14,pim,low,105,left,gled,low,285,right
9,15,noobda,high,240,left,clate,high,195,right
9,16,noom,low,330,right,blit,high,15,left
9,17,grah,high,60,left,noobda,high,240,right
9,18,blit,high,15,right,grah,high,60,left
9,19,gled,low,285,right,grah,high,60,left
9,20,pim,low,105,left,clate,high,195,right
9,21,noom,low,330,right,blit,high,15,left
9,22,grah,high,60,right,noom,low,330,left
9,23,gorm,low,150,left,noobda,high,240,right
9,24,blit,high,15,left,gorm,low,150,right
10,1,blit,high,15,right,grah,high,60,left
10,2,pim,low,105,left,blit,high,15,right
10,3,noobda,high,240,right,noom,low,330,left
10,4,pim,low,105,left,gled,low,285,right
10,5,noom,low,330,left,gorm,low,150,right
10,6,noobda,high,240,left,clate,high,195,right
10,7,noom,low,330,right,pim,low,105,left
10,8,clate,high,195,right,noobda,high,240,left
10,9,noobda,high,240,left,gorm,low,150,right
10,10,blit,high,15,right,gled,low,285,left
10,11,grah,high,60,right,pim,low,105,left
10,12,gled,low,285,right,clate,high,195,left
10,13,noobda,high,240,right,grah,high,60,left
10,14,grah,high,60,right,noobda,high,240,left
10,15,gorm,low,150,left,noobda,high,240,right
10,16,clate,high,195,right,noobda,high,240,left
10,17,gled,low,285,left,clate,high,195,right
10,18,clate,high,195,right,blit,high,15,left
10,19,blit,high,15,left,clate,high,195,right
10,20,grah,high,60,left,noom,low,330,right
10,21,gorm,low,150,left,grah,high,60,right
10,22,clate,high,195,left,blit,high,15,right
10,23,grah,high,60,left,blit,high,15,right
10,24,blit,high,15,right,grah,high,60,left
