frequency_ratio,T,p_lf,p_hf,theta
1:2,1.0702341137123745,0.653842,0.34615788,0.5
1:2,1.0869565217391304,0.6594717,0.34052843,0.5
1:2,1.1036789297658862,0.66502017,0.3349798,0.5
1:2,1.120401337792642,0.67048657,0.32951346,0.5
1:2,1.137123745819398,0.67586964,0.32413042,0.5
1:2,1.1538461538461537,0.68116856,0.3188314,0.5
1:2,1.1705685618729096,0.6863822,0.31361765,0.5
1:2,1.1872909698996654,0.69151026,0.30848968,0.5
1:2,1.2040133779264213,0.69655174,0.30344814,0.5
1:2,1.220735785953177,0.70150656,0.29849344,0.5
1:2,1.237458193979933,0.70637393,0.29362604,0.5
1:2,1.254180602006689,0.7111538,0.28884625,0.5
1:2,1.2709030100334449,0.7158459,0.28415412,0.5
1:2,1.2876254180602007,0.72045016,0.2795498,0.5
1:2,1.3043478260869565,0.7249667,0.27503332,0.5
1:2,1.3210702341137124,0.72939545,0.27060455,0.5
1:2,1.3377926421404682,0.73373675,0.2662632,0.5
1:2,1.354515050167224,0.7379909,0.26200905,0.5
1:2,1.37123745819398,0.74215835,0.25784177,0.5
1:2,1.3879598662207357,0.74623924,0.25376084,0.5
1:2,1.4046822742474916,0.75023407,0.24976574,0.5
1:2,1.4214046822742474,0.754144,0.24585599,0.5
1:2,1.4381270903010033,0.757969,0.24203084,0.5
1:2,1.4548494983277591,0.76171035,0.23828961,0.5
1:2,1.471571906354515,0.7653684,0.23463146,0.5
1:2,1.4882943143812708,0.7689442,0.23105569,0.5
1:2,1.5050167224080266,0.7724386,0.22756137,0.5
1:2,1.5217391304347825,0.7758524,0.22414751,0.5
1:2,1.5384615384615383,0.77918684,0.22081326,0.5
1:2,1.5551839464882942,0.7824425,0.21755755,0.5
1:2,1.57190635451505,0.78562075,0.2143793,0.5
1:2,1.5886287625418059,0.7887224,0.21127743,0.5
1:2,1.6053511705685617,0.7917491,0.20825091,0.5
1:2,1.6220735785953178,0.79470134,0.20529862,0.5
1:2,1.6387959866220736,0.79758066,0.20241936,0.5
1:2,1.6555183946488294,0.800388,0.1996119,0.5
1:2,1.6722408026755853,0.8031249,0.19687517,0.5
1:2,1.6889632107023411,0.8057921,0.19420786,0.5
1:2,1.705685618729097,0.8083912,0.1916088,0.5
1:2,1.7224080267558528,0.81092316,0.18907672,0.5
1:2,1.7391304347826086,0.8133894,0.18661043,0.5
1:2,1.7558528428093645,0.81579137,0.18420868,0.5
1:2,1.7725752508361203,0.8181298,0.18187013,0.5
1:2,1.7892976588628762,0.82040626,0.17959362,0.5
1:2,1.806020066889632,0.8226221,0.17737792,0.5
1:2,1.8227424749163879,0.8247782,0.1752217,0.5
1:2,1.8394648829431437,0.82687604,0.17312375,0.5
1:2,1.8561872909698995,0.8289171,0.17108284,0.5
1:2,1.8729096989966554,0.83090216,0.16909775,0.5
1:2,1.8896321070234112,0.8328329,0.16716722,0.5
1:2,1.906354515050167,0.8347099,0.16529001,0.5
1:2,1.923076923076923,0.836535,0.163465,0.5
1:2,1.9397993311036787,0.83830905,0.16169089,0.5
1:2,1.9565217391304346,0.8400334,0.15996659,0.5
1:2,1.9732441471571907,0.8417089,0.15829083,0.5
1:2,1.9899665551839465,0.84333736,0.15666257,0.5
1:2,2.0066889632107023,0.8449193,0.15508059,0.5
1:2,2.023411371237458,0.84645635,0.1535438,0.5
1:2,2.040133779264214,0.8479489,0.15205105,0.5
1:2,2.0568561872909696,0.8493987,0.15060125,0.5
1:2,2.0735785953177257,0.8508066,0.14919336,0.5
1:2,2.0903010033444813,0.8521738,0.1478263,0.5
1:2,2.1070234113712374,0.853501,0.14649904,0.5
1:2,2.123745819397993,0.8547895,0.14521052,0.5
1:2,2.140468227424749,0.8560401,0.14395978,0.5
1:2,2.157190635451505,0.8572544,0.1427458,0.5
1:2,2.1739130434782608,0.85843235,0.14156759,0.5
1:2,2.190635451505017,0.85957557,0.14042424,0.5
1:2,2.2073578595317724,0.8606853,0.13931483,0.5
1:2,2.2240802675585285,0.8617614,0.1382384,0.5
1:2,2.240802675585284,0.8628061,0.13719411,0.5
1:2,2.25752508361204,0.8638189,0.13618104,0.5
1:2,2.274247491638796,0.8648015,0.13519834,0.5
1:2,2.290969899665552,0.8657547,0.13424516,0.5
1:2,2.3076923076923075,0.86667913,0.13332073,0.5
1:2,2.3244147157190636,0.8675759,0.13242424,0.5
1:2,2.341137123745819,0.8684451,0.13155486,0.5
1:2,2.3578595317725752,0.8692881,0.13071185,0.5
1:2,2.374581939799331,0.8701054,0.12989448,0.5
1:2,2.391304347826087,0.8708981,0.12910204,0.5
1:2,2.4080267558528425,0.87166625,0.12833373,0.5
1:2,2.4247491638795986,0.8724112,0.12758896,0.5
1:2,2.441471571906354,0.873133,0.12686698,0.5
1:2,2.4581939799331103,0.8738327,0.12616716,0.5
1:2,2.474916387959866,0.874511,0.12548886,0.5
1:2,2.491638795986622,0.8751684,0.12483146,0.5
1:2,2.508361204013378,0.8758058,0.12419435,0.5
1:2,2.5250836120401337,0.8764229,0.123576894,0.5
1:2,2.5418060200668897,0.8770216,0.12297855,0.5
1:2,2.5585284280936453,0.877601,0.12239875,0.5
1:2,2.5752508361204014,0.87816316,0.12183694,0.5
1:2,2.591973244147157,0.8787075,0.12129259,0.5
1:2,2.608695652173913,0.87923497,0.120765164,0.5
1:2,2.6254180602006687,0.87974566,0.12025419,0.5
1:2,2.6421404682274248,0.880241,0.11975914,0.5
1:2,2.6588628762541804,0.8807204,0.119279556,0.5
1:2,2.6755852842809364,0.88118505,0.11881495,0.5
1:2,2.692307692307692,0.8816349,0.11836491,0.5
1:2,2.709030100334448,0.88207084,0.11792896,0.5
1:2,2.7257525083612038,0.88249344,0.11750669,0.5
1:2,2.74247491638796,0.8829025,0.117097676,0.5
1:2,2.7591973244147154,0.88329864,0.11670152,0.5
1:2,2.7759197324414715,0.88368225,0.11631782,0.5
1:2,2.792642140468227,0.88405377,0.11594621,0.5
1:2,2.809364548494983,0.8844136,0.11558631,0.5
1:2,2.826086956521739,0.8847624,0.115237765,0.5
1:2,2.842809364548495,0.8850999,0.114900224,0.5
1:2,2.859531772575251,0.8854267,0.114573345,0.5
1:2,2.8762541806020065,0.885743,0.11425681,0.5
1:2,2.8929765886287626,0.88604987,0.11395028,0.5
1:2,2.9096989966555182,0.88634646,0.113653466,0.5
1:2,2.9264214046822743,0.886634,0.11336605,0.5
1:2,2.94314381270903,0.88691217,0.11308776,0.5
1:2,2.959866220735786,0.88718164,0.11281829,0.5
1:2,2.9765886287625416,0.8874428,0.11255739,0.5
1:2,2.9933110367892977,0.8876953,0.11230477,0.5
1:2,3.0100334448160533,0.8879399,0.11206018,0.5
1:2,3.0267558528428093,0.8881766,0.11182338,0.5
1:2,3.043478260869565,0.8884058,0.11159411,0.5
1:2,3.060200668896321,0.8886279,0.11137214,0.5
1:2,3.0769230769230766,0.8888429,0.11115725,0.5
1:2,3.0936454849498327,0.8890507,0.1109492,0.5
1:2,3.1103678929765883,0.8892522,0.11074781,0.5
1:2,3.1270903010033444,0.88944703,0.11055282,0.5
1:2,3.1438127090301,0.8896358,0.110364065,0.5
1:2,3.160535117056856,0.8898187,0.11018134,0.5
1:2,3.1772575250836117,0.88999563,0.110004455,0.5
1:2,3.1939799331103678,0.89016664,0.10983322,0.5
1:2,3.2107023411371234,0.8903324,0.10966746,0.5
1:2,3.2274247491638794,0.89049304,0.10950701,0.5
1:2,3.2441471571906355,0.8906481,0.10935169,0.5
1:2,3.260869565217391,0.89079845,0.10920134,0.5
1:2,3.277591973244147,0.890944,0.10905581,0.5
1:2,3.294314381270903,0.89108515,0.10891495,0.5
1:2,3.311036789297659,0.89122117,0.10877859,0.5
1:2,3.3277591973244145,0.8913532,0.10864661,0.5
1:2,3.3444816053511706,0.89148116,0.10851886,0.5
1:2,3.361204013377926,0.89160484,0.10839521,0.5
1:2,3.3779264214046822,0.8917245,0.108275525,0.5
1:2,3.394648829431438,0.8918402,0.10815968,0.5
1:2,3.411371237458194,0.8919523,0.10804756,0.5
1:2,3.4280936454849495,0.8920608,0.10793904,0.5
1:2,3.4448160535117056,0.89216614,0.107834004,0.5
1:2,3.4615384615384612,0.8922674,0.10773234,0.5
1:2,3.4782608695652173,0.89236593,0.10763395,0.5
1:2,3.494983277591973,0.8924613,0.10753872,0.5
1:2,3.511705685618729,0.89255345,0.10744655,0.5
1:2,3.5284280936454846,0.8926428,0.10735735,0.5
1:2,3.5451505016722407,0.8927289,0.107271016,0.5
1:2,3.5618729096989963,0.8928123,0.10718746,0.5
1:2,3.5785953177257523,0.89289325,0.10710659,0.5
1:2,3.5953177257525084,0.8929718,0.10702832,0.5
1:2,3.612040133779264,0.8930476,0.10695258,0.5
1:2,3.62876254180602,0.8931205,0.10687927,0.5
1:2,3.6454849498327757,0.8931915,0.10680833,0.5
1:2,3.6622073578595318,0.8932605,0.10673966,0.5
1:2,3.6789297658862874,0.89332664,0.10667321,0.5
1:2,3.6956521739130435,0.89339083,0.106608905,0.5
1:2,3.712374581939799,0.89345336,0.10654667,0.5
1:2,3.729096989966555,0.8935135,0.10648644,0.5
1:2,3.7458193979933108,0.8935721,0.106428154,0.5
1:2,3.762541806020067,0.8936283,0.10637174,0.5
1:2,3.7792642140468224,0.89368284,0.10631715,0.5
1:2,3.7959866220735785,0.8937358,0.106264316,0.5
1:2,3.812709030100334,0.8937867,0.10621319,0.5
1:2,3.82943143812709,0.8938361,0.10616371,0.5
1:2,3.846153846153846,0.89388424,0.10611583,0.5
1:2,3.862876254180602,0.8939304,0.1060695,0.5
1:2,3.8795986622073575,0.8939753,0.10602465,0.5
1:2,3.8963210702341136,0.89401865,0.10598125,0.5
1:2,3.913043478260869,0.89406085,0.10593926,0.5
1:2,3.9297658862876252,0.89410174,0.10589862,0.5
1:2,3.9464882943143813,0.8941411,0.105859295,0.5
1:2,3.963210702341137,0.8941788,0.10582124,0.5
1:2,3.979933110367893,0.89421576,0.10578441,0.5
1:2,3.9966555183946486,0.89425105,0.105748765,0.5
1:2,4.013377926421405,0.8942856,0.10571428,0.5
1:2,4.030100334448161,0.89431936,0.1056809,0.5
1:2,4.046822742474916,0.8943515,0.1056486,0.5
1:2,4.063545150501672,0.8943828,0.105617344,0.5
1:2,4.080267558528428,0.8944133,0.1055871,0.5
1:2,4.096989966555184,0.8944422,0.10555784,0.5
1:2,4.113712374581939,0.8944703,0.10552951,0.5
1:2,4.130434782608695,0.89449763,0.1055021,0.5
1:2,4.147157190635451,0.8945241,0.10547558,0.5
1:2,4.1638795986622075,0.89454985,0.105449915,0.5
1:2,4.180602006688963,0.89457476,0.105425075,0.5
1:2,4.197324414715719,0.89459884,0.10540105,0.5
1:2,4.214046822742475,0.89462215,0.105377786,0.5
1:2,4.230769230769231,0.89464456,0.10535528,0.5
1:2,4.247491638795986,0.8946663,0.1053335,0.5
1:2,4.264214046822742,0.894688,0.10531243,0.5
1:2,4.280936454849498,0.89470804,0.10529204,0.5
1:2,4.297658862876254,0.8947281,0.1052723,0.5
1:2,4.31438127090301,0.89474666,0.105253205,0.5
1:2,4.331103678929765,0.89476514,0.10523473,0.5
1:2,4.3478260869565215,0.8947828,0.105216846,0.5
1:2,4.364548494983278,0.8948004,0.10519954,0.5
1:2,4.381270903010034,0.89481735,0.1051828,0.5
1:2,4.397993311036789,0.8948334,0.10516659,0.5
1:2,4.414715719063545,0.8948487,0.105150916,0.5
1:2,4.431438127090301,0.8948639,0.10513575,0.5
1:2,4.448160535117057,0.89487916,0.10512106,0.5
1:2,4.464882943143812,0.8948929,0.10510685,0.5
1:2,4.481605351170568,0.8949065,0.10509311,0.5
1:2,4.498327759197324,0.8949202,0.10507981,0.5
1:2,4.51505016722408,0.89493304,0.10506693,0.5
1:2,4.5317725752508355,0.8949459,0.105054475,0.5
1:2,4.548494983277592,0.89495796,0.10504243,0.5
1:2,4.565217391304348,0.89496917,0.10503076,0.5
1:2,4.581939799331104,0.89498043,0.10501947,0.5
1:2,4.598662207357859,0.8949917,0.10500856,0.5
1:2,4.615384615384615,0.8950021,0.104997985,0.5
1:2,4.632107023411371,0.89501256,0.10498776,0.5
1:2,4.648829431438127,0.8950222,0.10497786,0.5
1:2,4.665551839464883,0.89503187,0.10496829,0.5
1:2,4.682274247491638,0.8950407,0.104959026,0.5
1:2,4.698996655518394,0.89505035,0.104950055,0.5
1:2,4.7157190635451505,0.8950584,0.10494138,0.5
1:2,4.7324414715719065,0.8950673,0.104932986,0.5
1:2,4.749163879598662,0.89507526,0.104924865,0.5
1:2,4.765886287625418,0.8950833,0.104917005,0.5
1:2,4.782608695652174,0.8950906,0.1049094,0.5
1:2,4.79933110367893,0.8950978,0.10490204,0.5
1:2,4.816053511705685,0.895105,0.104894914,0.5
1:2,4.832775919732441,0.8951122,0.10488802,0.5
1:2,4.849498327759197,0.89511865,0.10488135,0.5
1:2,4.866220735785953,0.8951251,0.1048749,0.5
1:2,4.882943143812708,0.8951315,0.10486866,0.5
1:2,4.8996655518394645,0.89513713,0.104862615,0.5
1:2,4.916387959866221,0.89514357,0.10485677,0.5
1:2,4.933110367892977,0.8951492,0.10485111,0.5
1:2,4.949832775919732,0.895154,0.104845636,0.5
1:2,4.966555183946488,0.89515966,0.10484034,0.5
1:2,4.983277591973244,0.8951645,0.10483521,0.5
1:2,5.0,0.8951701,0.10483025,0.5
1:4,0.0,0.19295707,0.8070429,0.5
1:4,0.016722408026755852,0.19685459,0.80314535,0.5
1:4,0.033444816053511704,0.20083728,0.7991626,0.5
1:4,0.05016722408026755,0.2049058,0.79509425,0.5
1:4,0.06688963210702341,0.20906058,0.79093945,0.5
1:4,0.08361204013377926,0.21330214,0.7866978,0.5
1:4,0.1003344481605351,0.21763083,0.7823691,0.5
1:4,0.11705685618729096,0.22204702,0.77795297,0.5
1:4,0.13377926421404682,0.22655082,0.7734491,0.5
1:4,0.15050167224080266,0.23114243,0.7688576,0.5
1:4,0.16722408026755853,0.23582184,0.76417816,0.5
1:4,0.18394648829431437,0.24058898,0.75941086,0.5
1:4,0.2006688963210702,0.24544375,0.7545562,0.5
1:4,0.21739130434782608,0.25038585,0.7496142,0.5
1:4,0.23411371237458192,0.25541487,0.744585,0.5
1:4,0.2508361204013378,0.2605304,0.73946947,0.5
1:4,0.26755852842809363,0.26573187,0.7342681,0.5
1:4,0.2842809364548495,0.27101848,0.72898155,0.5
1:4,0.3010033444816053,0.27638945,0.7236106,0.5
1:4,0.3177257525083612,0.28184384,0.71815616,0.5
1:4,0.33444816053511706,0.28738058,0.71261936,0.5
1:4,0.3511705685618729,0.29299852,0.70700145,0.5
1:4,0.36789297658862874,0.29869634,0.7013037,0.5
1:4,0.3846153846153846,0.30447254,0.69552743,0.5
1:4,0.4013377926421404,0.31032562,0.6896743,0.5
1:4,0.4180602006688963,0.3162539,0.6837461,0.5
1:4,0.43478260869565216,0.3222556,0.6777445,0.5
1:4,0.451505016722408,0.32832867,0.6716714,0.5
1:4,0.46822742474916385,0.33447108,0.6655289,0.5
1:4,0.4849498327759197,0.34068075,0.6593192,0.5
1:4,0.5016722408026756,0.3469553,0.6530447,0.5
1:4,0.5183946488294314,0.35329223,0.64670765,0.5
1:4,0.5351170568561873,0.35968912,0.6403109,0.5
1:4,0.5518394648829431,0.36614326,0.6338567,0.5
1:4,0.568561872909699,0.37265188,0.62734807,0.5
1:4,0.5852842809364548,0.37921214,0.62078786,0.5
1:4,0.6020066889632106,0.38582098,0.61417896,0.5
1:4,0.6187290969899665,0.3924755,0.60752463,0.5
1:4,0.6354515050167224,0.39917225,0.60082775,0.5
1:4,0.6521739130434783,0.40590817,0.5940917,0.5
1:4,0.6688963210702341,0.4126799,0.58732,0.5
1:4,0.68561872909699,0.41948405,0.5805158,0.5
1:4,0.7023411371237458,0.4263172,0.5736828,0.5
1:4,0.7190635451505016,0.43317562,0.5668243,0.5
1:4,0.7357859531772575,0.440056,0.55994403,0.5
1:4,0.7525083612040133,0.44695437,0.55304563,0.5
1:4,0.7692307692307692,0.45386732,0.5461326,0.5
1:4,0.785953177257525,0.46079102,0.53920895,0.5
1:4,0.8026755852842808,0.46772185,0.5322782,0.5
1:4,0.8193979933110368,0.4746559,0.5253441,0.5
1:4,0.8361204013377926,0.48158944,0.5184104,0.5
1:4,0.8528428093645485,0.48851886,0.51148105,0.5
1:4,0.8695652173913043,0.49544033,0.5045596,0.5
1:4,0.8862876254180602,0.5023502,0.4976498,0.5
1:4,0.903010033444816,0.5092447,0.49075538,0.5
1:4,0.9197324414715718,0.5161201,0.48387992,0.5
1:4,0.9364548494983277,0.5229729,0.4770272,0.5
1:4,0.9531772575250835,0.52979934,0.47020066,0.5
1:4,0.9698996655518394,0.53659606,0.46340385,0.5
1:4,0.9866220735785953,0.5433596,0.45664027,0.5
1:4,1.0033444816053512,0.55008656,0.44991335,0.5
1:4,1.020066889632107,0.5567735,0.4432264,0.5
1:4,1.0367892976588629,0.56341743,0.43658257,0.5
1:4,1.0535117056856187,0.5700149,0.42998502,0.5
1:4,1.0702341137123745,0.5765631,0.42343685,0.5
1:4,1.0869565217391304,0.58305895,0.4169409,0.5
1:4,1.1036789297658862,0.58949983,0.4105002,0.5
1:4,1.120401337792642,0.5958826,0.40411735,0.5
1:4,1.137123745819398,0.60220486,0.39779505,0.5
1:4,1.1538461538461537,0.60846424,0.39153576,0.5
1:4,1.1705685618729096,0.61465806,0.3853419,0.5
1:4,1.1872909698996654,0.6207843,0.3792158,0.5
1:4,1.2040133779264213,0.62684035,0.37315953,0.5
1:4,1.220735785953177,0.6328248,0.3671752,0.5
1:4,1.237458193979933,0.63873535,0.3612647,0.5
1:4,1.254180602006689,0.64457023,0.3554298,0.5
1:4,1.2709030100334449,0.65032786,0.3496721,0.5
1:4,1.2876254180602007,0.65600675,0.34399322,0.5
1:4,1.3043478260869565,0.66160554,0.33839452,0.5
1:4,1.3210702341137124,0.6671227,0.33287734,0.5
1:4,1.3377926421404682,0.6725573,0.32744268,0.5
1:4,1.354515050167224,0.6779083,0.3220918,0.5
1:4,1.37123745819398,0.68317455,0.31682536,0.5
1:4,1.3879598662207357,0.6883555,0.31164438,0.5
1:4,1.4046822742474916,0.69345057,0.3065494,0.5
1:4,1.4214046822742474,0.6984588,0.301541,0.5
1:4,1.4381270903010033,0.7033803,0.29661977,0.5
1:4,1.4548494983277591,0.70821416,0.29178584,0.5
1:4,1.471571906354515,0.7129604,0.28703955,0.5
1:4,1.4882943143812708,0.7176189,0.28238106,0.5
1:4,1.5050167224080266,0.72218966,0.27781042,0.5
1:4,1.5217391304347825,0.7266724,0.2733275,0.5
1:4,1.5384615384615383,0.7310678,0.2689322,0.5
1:4,1.5551839464882942,0.73537564,0.2646243,0.5
1:4,1.57190635451505,0.7395964,0.26040345,0.5
1:4,1.5886287625418059,0.7437307,0.25626928,0.5
1:4,1.6053511705685617,0.7477787,0.25222126,0.5
1:4,1.6220735785953178,0.75174105,0.24825896,0.5
1:4,1.6387959866220736,0.7556184,0.24438164,0.5
1:4,1.6555183946488294,0.7594113,0.24058871,0.5
1:4,1.6722408026755853,0.7631206,0.23687935,0.5
1:4,1.6889632107023411,0.766747,0.2332529,0.5
1:4,1.705685618729097,0.7702916,0.2297084,0.5
1:4,1.7224080267558528,0.773755,0.226245,0.5
1:4,1.7391304347826086,0.77713823,0.22286174,0.5
1:4,1.7558528428093645,0.7804424,0.21955764,0.5
1:4,1.7725752508361203,0.7836682,0.21633163,0.5
1:4,1.7892976588628762,0.7868172,0.21318279,0.5
1:4,1.806020066889632,0.78989,0.21010996,0.5
1:4,1.8227424749163879,0.7928881,0.20711201,0.5
1:4,1.8394648829431437,0.795812,0.20418775,0.5
1:4,1.8561872909698995,0.79866374,0.20133613,0.5
1:4,1.8729096989966554,0.801444,0.19855593,0.5
1:4,1.8896321070234112,0.8041541,0.1958459,0.5
1:4,1.906354515050167,0.8067953,0.19320488,0.5
1:4,1.923076923076923,0.8093685,0.19063161,0.5
1:4,1.9397993311036787,0.8118749,0.18812484,0.5
1:4,1.9565217391304346,0.81431663,0.18568341,0.5
1:4,1.9732441471571907,0.8166941,0.183306,0.5
1:4,1.9899665551839465,0.81900865,0.18099137,0.5
1:4,2.0066889632107023,0.8212617,0.17873827,0.5
1:4,2.023411371237458,0.82345444,0.1765455,0.5
1:4,2.040133779264214,0.82558817,0.17441174,0.5
1:4,2.0568561872909696,0.82766426,0.17233579,0.5
1:4,2.0735785953177257,0.82968366,0.17031638,0.5
1:4,2.0903010033444813,0.8316477,0.16835229,0.5
1:4,2.1070234113712374,0.8335574,0.16644232,0.5
1:4,2.123745819397993,0.83541477,0.16458523,0.5
1:4,2.140468227424749,0.83721995,0.16277987,0.5
1:4,2.157190635451505,0.83897495,0.16102496,0.5
1:4,2.1739130434782608,0.8406805,0.15931939,0.5
1:4,2.190635451505017,0.84233814,0.15766197,0.5
1:4,2.2073578595317724,0.84394825,0.15605153,0.5
1:4,2.2240802675585285,0.84551287,0.15448697,0.5
1:4,2.240802675585284,0.8470329,0.15296717,0.5
1:4,2.25752508361204,0.8485091,0.15149102,0.5
1:4,2.274247491638796,0.84994274,0.1500574,0.5
1:4,2.290969899665552,0.8513348,0.14866525,0.5
1:4,2.3076923076923075,0.8526866,0.14731354,0.5
1:4,2.3244147157190636,0.85399854,0.14600119,0.5
1:4,2.341137123745819,0.8552729,0.14472727,0.5
1:4,2.3578595317725752,0.8565094,0.1434907,0.5
1:4,2.374581939799331,0.85770935,0.14229052,0.5
1:4,2.391304347826087,0.85887414,0.14112581,0.5
1:4,2.4080267558528425,0.8600045,0.13999556,0.5
1:4,2.4247491638795986,0.86110127,0.1388989,0.5
1:4,2.441471571906354,0.8621652,0.13783486,0.5
1:4,2.4581939799331103,0.86319727,0.1368026,0.5
1:4,2.474916387959866,0.8641985,0.13580126,0.5
1:4,2.491638795986622,0.86517,0.13482998,0.5
1:4,2.508361204013378,0.866112,0.13388793,0.5
1:4,2.5250836120401337,0.86702555,0.13297428,0.5
1:4,2.5418060200668897,0.8679118,0.13208824,0.5
1:4,2.5585284280936453,0.8687709,0.13122906,0.5
1:4,2.5752508361204014,0.86960405,0.13039596,0.5
1:4,2.591973244147157,0.87041193,0.12958822,0.5
1:4,2.608695652173913,0.87119484,0.12880507,0.5
1:4,2.6254180602006687,0.8719542,0.12804589,0.5
1:4,2.6421404682274248,0.8726901,0.1273099,0.5
1:4,2.6588628762541804,0.8734035,0.1265965,0.5
1:4,2.6755852842809364,0.8740952,0.12590499,0.5
1:4,2.692307692307692,0.8747651,0.12523477,0.5
1:4,2.709030100334448,0.8754148,0.12458519,0.5
1:4,2.7257525083612038,0.87604415,0.12395567,0.5
1:4,2.74247491638796,0.8766544,0.1233456,0.5
1:4,2.7591973244147154,0.8772458,0.12275443,0.5
1:4,2.7759197324414715,0.8778183,0.12218158,0.5
1:4,2.792642140468227,0.8783735,0.12162651,0.5
1:4,2.809364548494983,0.87891126,0.121088706,0.5
1:4,2.826086956521739,0.8794321,0.120567635,0.5
1:4,2.842809364548495,0.87993705,0.12006281,0.5
1:4,2.859531772575251,0.88042617,0.119573735,0.5
1:4,2.8762541806020065,0.88090014,0.119099945,0.5
1:4,2.8929765886287626,0.881359,0.118640974,0.5
1:4,2.9096989966555182,0.8818034,0.11819637,0.5
1:4,2.9264214046822743,0.8822342,0.11776571,0.5
1:4,2.94314381270903,0.88265145,0.11734856,0.5
1:4,2.959866220735786,0.8830554,0.116944514,0.5
1:4,2.9765886287625416,0.8834468,0.11655317,0.5
1:4,2.9933110367892977,0.8838258,0.116174154,0.5
1:4,3.0100334448160533,0.884193,0.11580707,0.5
1:4,3.0267558528428093,0.8845485,0.11545155,0.5
1:4,3.043478260869565,0.88489264,0.11510726,0.5
1:4,3.060200668896321,0.88522613,0.11477384,0.5
1:4,3.0769230769230766,0.88554907,0.11445096,0.5
1:4,3.0936454849498327,0.88586146,0.11413828,0.5
1:4,3.1103678929765883,0.8861643,0.11383552,0.5
1:4,3.1270903010033444,0.8864574,0.11354233,0.5
1:4,3.1438127090301,0.88674146,0.11325845,0.5
