frequency_ratio,payoff_structure,T,p_lf,p_hf,theta
1:2,linear,2.174581939799331,0.42019862,0.57980126,0.25
1:2,linear,2.1906354515050164,0.4206277,0.57937235,0.25
1:2,linear,2.2066889632107025,0.42105126,0.5789487,0.25
1:2,linear,2.2227424749163878,0.42146966,0.57853043,0.25
1:2,linear,2.2387959866220735,0.42188266,0.57811743,0.25
1:2,linear,2.254849498327759,0.42229044,0.57770956,0.25
1:2,linear,2.270903010033445,0.42269313,0.5773069,0.25
1:2,linear,2.2869565217391306,0.4230907,0.5769093,0.25
1:2,linear,2.303010033444816,0.42348328,0.5765168,0.25
1:2,linear,2.3190635451505015,0.42387077,0.57612914,0.25
1:2,linear,2.335117056856187,0.42425343,0.5757466,0.25
1:2,linear,2.351170568561873,0.4246312,0.5753689,0.25
1:2,linear,2.3672240802675586,0.42500412,0.57499605,0.25
1:2,linear,2.3832775919732443,0.4253722,0.5746278,0.25
1:2,linear,2.3993311036789295,0.42573565,0.57426447,0.25
1:2,linear,2.4153846153846152,0.4260944,0.57390577,0.25
1:2,linear,2.431438127090301,0.4264485,0.5735516,0.25
1:2,linear,2.4474916387959866,0.426798,0.57320195,0.25
1:2,linear,2.4635451505016723,0.4271431,0.57285684,0.25
1:2,linear,2.4795986622073576,0.42748368,0.57251644,0.25
1:2,linear,2.4956521739130433,0.42781982,0.5721802,0.25
1:2,linear,2.511705685618729,0.42815155,0.57184845,0.25
1:2,linear,2.5277591973244147,0.42847905,0.5715208,0.25
1:2,linear,2.5438127090301004,0.4288023,0.5711978,0.25
1:2,linear,2.559866220735786,0.4291212,0.57087874,0.25
1:2,linear,2.5759197324414713,0.4294361,0.57056403,0.25
1:2,linear,2.591973244147157,0.42974675,0.5702533,0.25
1:2,linear,2.6080267558528427,0.4300534,0.5699467,0.25
1:2,linear,2.6240802675585284,0.430356,0.5696441,0.25
1:2,linear,2.640133779264214,0.4306546,0.5693454,0.25
1:2,linear,2.6561872909699,0.43094936,0.5690508,0.25
1:2,linear,2.672240802675585,0.43124014,0.56876,0.25
1:2,linear,2.6882943143812708,0.43152708,0.568473,0.25
1:2,linear,2.7043478260869565,0.4318102,0.56818974,0.25
1:2,linear,2.720401337792642,0.4320896,0.5679103,0.25
1:2,linear,2.736454849498328,0.43236536,0.5676347,0.25
1:2,linear,2.752508361204013,0.4326374,0.5673626,0.25
1:2,linear,2.768561872909699,0.43290585,0.5670941,0.25
1:2,linear,2.7846153846153845,0.43317068,0.56682926,0.25
1:2,linear,2.80066889632107,0.43343216,0.566568,0.25
1:2,linear,2.816722408026756,0.43368986,0.56631005,0.25
1:2,linear,2.8327759197324416,0.43394428,0.5660557,0.25
1:2,linear,2.848829431438127,0.43419525,0.56580466,0.25
1:2,linear,2.8648829431438125,0.43444294,0.5655571,0.25
1:2,linear,2.8809364548494982,0.43468726,0.5653128,0.25
1:2,linear,2.896989966555184,0.4349283,0.56507176,0.25
1:2,linear,2.9130434782608696,0.43516612,0.564834,0.25
1:2,linear,2.929096989966555,0.43540066,0.56459934,0.25
1:2,linear,2.9451505016722406,0.4356321,0.5643679,0.25
1:2,linear,2.9612040133779263,0.43586046,0.5641396,0.25
1:2,linear,2.977257525083612,0.4360856,0.5639143,0.25
1:2,linear,2.9933110367892977,0.43630785,0.5636922,0.25
1:2,linear,3.0093645484949834,0.43652707,0.56347305,0.25
1:2,linear,3.0254180602006686,0.43674332,0.56325686,0.25
1:2,linear,3.0414715719063543,0.4369566,0.5630435,0.25
1:2,linear,3.05752508361204,0.437167,0.5628332,0.25
1:2,linear,3.0735785953177257,0.43737447,0.5626254,0.25
1:2,linear,3.0896321070234114,0.4375792,0.5624209,0.25
1:2,linear,3.1056856187290967,0.43778113,0.56221884,0.25
1:2,linear,3.1217391304347823,0.4379802,0.5620197,0.25
1:2,linear,3.137792642140468,0.43817678,0.5618234,0.25
1:2,linear,3.1538461538461537,0.4383705,0.56162953,0.25
1:2,linear,3.1698996655518394,0.43856162,0.5614383,0.25
1:2,linear,3.185953177257525,0.43875018,0.5612499,0.25
1:2,linear,3.2020066889632104,0.43893608,0.561064,0.25
1:2,linear,3.218060200668896,0.4391195,0.56088054,0.25
1:2,linear,3.234113712374582,0.43930033,0.5606997,0.25
1:2,linear,3.2501672240802675,0.43947873,0.5605213,0.25
1:2,linear,3.266220735785953,0.43965468,0.56034535,0.25
1:2,linear,3.282274247491639,0.43982822,0.5601718,0.25
1:2,linear,3.298327759197324,0.43999937,0.5600007,0.25
1:2,linear,3.31438127090301,0.44016808,0.55983186,0.25
1:2,linear,3.3304347826086955,0.44033456,0.55966544,0.25
1:2,linear,3.346488294314381,0.4404988,0.5595012,0.25
1:2,linear,3.362541806020067,0.44066066,0.5593394,0.25
1:2,linear,3.378595317725752,0.4408204,0.55917966,0.25
1:2,linear,3.394648829431438,0.44097784,0.5590223,0.25
1:2,linear,3.4107023411371236,0.44113305,0.558867,0.25
1:2,linear,3.4267558528428093,0.4412862,0.55871385,0.25
1:2,linear,3.442809364548495,0.4414372,0.5585629,0.25
1:2,linear,3.4588628762541807,0.44158608,0.5584138,0.25
1:2,linear,3.474916387959866,0.44173297,0.558267,0.25
1:2,linear,3.4909698996655516,0.44187778,0.5581222,0.25
1:2,linear,3.5070234113712373,0.44202068,0.5579795,0.25
1:2,linear,3.523076923076923,0.4421615,0.5578387,0.25
1:2,linear,3.5391304347826087,0.44230026,0.5576997,0.25
1:2,linear,3.555183946488294,0.44243726,0.5575629,0.25
1:2,linear,3.5712374581939796,0.44257218,0.5574277,0.25
1:2,linear,3.5872909698996653,0.44270548,0.5572947,0.25
1:2,linear,3.603344481605351,0.44283658,0.55716324,0.25
1:2,linear,3.6193979933110367,0.44296625,0.5570339,0.25
1:2,linear,3.6354515050167224,0.44309387,0.5569063,0.25
1:2,linear,3.6515050167224077,0.4432198,0.5567804,0.25
1:2,linear,3.6675585284280934,0.44334376,0.55665624,0.25
1:2,linear,3.683612040133779,0.4434661,0.55653375,0.25
1:2,linear,3.6996655518394648,0.44358674,0.5564131,0.25
1:2,linear,3.7157190635451505,0.44370586,0.55629426,0.25
1:2,linear,3.7317725752508357,0.44382307,0.55617684,0.25
1:2,linear,3.7478260869565214,0.44393885,0.5560613,0.25
1:2,linear,3.763879598662207,0.44405285,0.5559472,0.25
1:2,linear,3.779933110367893,0.4441652,0.55583465,0.25
1:2,linear,3.7959866220735785,0.4442761,0.5557238,0.25
1:2,linear,3.812040133779264,0.4443854,0.55561453,0.25
1:2,linear,3.8280936454849495,0.44449317,0.5555067,0.25
1:2,linear,3.844147157190635,0.44459948,0.5554005,0.25
1:2,linear,3.860200668896321,0.44470432,0.55529577,0.25
1:2,linear,3.8762541806020065,0.44480762,0.55519253,0.25
1:2,linear,3.8923076923076922,0.44490954,0.5550906,0.25
1:2,linear,3.9083612040133775,0.4450098,0.5549901,0.25
1:2,linear,3.924414715719063,0.4451089,0.55489117,0.25
1:2,linear,3.940468227424749,0.4452063,0.5547935,0.25
1:2,linear,3.9565217391304346,0.44530272,0.55469745,0.25
1:2,linear,3.9725752508361203,0.44539753,0.55460256,0.25
1:2,linear,3.988628762541806,0.4454911,0.55450904,0.25
1:2,linear,4.004682274247491,0.4455833,0.55441684,0.25
1:2,linear,4.0207357859531765,0.44567415,0.5543258,0.25
1:2,linear,4.036789297658863,0.44576383,0.5542363,0.25
1:2,linear,4.052842809364548,0.44585216,0.5541479,0.25
1:2,linear,4.068896321070234,0.44593933,0.5540609,0.25
1:2,linear,4.084949832775919,0.44602513,0.5539749,0.25
1:2,linear,4.1010033444816045,0.4461098,0.5538902,0.25
1:2,linear,4.117056856187291,0.4461933,0.55380684,0.25
1:2,linear,4.133110367892976,0.44627565,0.55372465,0.25
1:2,linear,4.149163879598662,0.44635662,0.55364335,0.25
1:2,linear,4.165217391304347,0.44643655,0.55356324,0.25
1:2,linear,4.181270903010033,0.44651553,0.5534846,0.25
1:2,linear,4.197324414715719,0.44659317,0.5534069,0.25
1:2,linear,4.213377926421405,0.44666982,0.55333036,0.25
1:2,linear,4.22943143812709,0.44674534,0.55325466,0.25
1:2,linear,4.245484949832775,0.4468197,0.55318034,0.25
1:2,linear,4.2615384615384615,0.4468931,0.55310684,0.25
1:2,linear,4.277591973244147,0.44696555,0.55303466,0.25
1:2,linear,4.293645484949833,0.44703683,0.55296314,0.25
1:2,linear,4.309698996655518,0.447107,0.55289286,0.25
1:2,linear,4.325752508361203,0.44717637,0.55282354,0.25
1:2,linear,4.3418060200668895,0.44724482,0.55275536,0.25
1:2,linear,4.357859531772575,0.44731212,0.5526878,0.25
1:2,linear,4.373913043478261,0.44737846,0.5526216,0.25
1:2,linear,4.389966555183946,0.44744396,0.5525562,0.25
1:2,linear,4.406020066889631,0.4475084,0.55249137,0.25
1:2,linear,4.422073578595318,0.4475722,0.552428,0.25
1:2,linear,4.438127090301003,0.44763473,0.5523654,0.25
1:2,linear,4.454180602006689,0.44769642,0.5523035,0.25
1:2,linear,4.470234113712374,0.44775748,0.55224246,0.25
1:2,linear,4.48628762541806,0.4478175,0.5521824,0.25
1:2,linear,4.502341137123746,0.44787663,0.55212337,0.25
1:2,linear,4.518394648829431,0.44793516,0.55206496,0.25
1:2,linear,4.534448160535117,0.44799262,0.5520074,0.25
1:2,linear,4.550501672240802,0.44804925,0.5519509,0.25
1:2,linear,4.566555183946488,0.448105,0.55189484,0.25
1:2,linear,4.582608695652174,0.44816035,0.55183977,0.25
1:2,linear,4.598662207357859,0.44821462,0.55178547,0.25
1:2,linear,4.614715719063545,0.44826806,0.55173206,0.25
1:2,linear,4.63076923076923,0.44832066,0.5516791,0.25
1:2,linear,4.6468227424749164,0.4483728,0.55162704,0.25
1:2,linear,4.662876254180602,0.44842413,0.55157584,0.25
1:2,linear,4.678929765886287,0.4484746,0.55152553,0.25
1:2,linear,4.694983277591973,0.44852442,0.5514757,0.25
1:2,linear,4.711036789297658,0.44857362,0.55142653,0.25
1:2,linear,4.7270903010033445,0.44862196,0.5513781,0.25
1:2,linear,4.74314381270903,0.44866946,0.5513304,0.25
1:2,linear,4.759197324414715,0.44871673,0.5512834,0.25
1:2,linear,4.775250836120401,0.44876295,0.5512369,0.25
1:2,linear,4.791304347826086,0.44880855,0.5511914,0.25
1:2,linear,4.8073578595317725,0.4488537,0.55114657,0.25
1:2,linear,4.823411371237458,0.44889802,0.5511018,0.25
1:2,linear,4.839464882943144,0.4489419,0.5510583,0.25
1:2,linear,4.855518394648829,0.4489847,0.551015,0.25
1:2,linear,4.871571906354514,0.4490273,0.55097264,0.25
1:2,linear,4.887625418060201,0.44906926,0.5509307,0.25
1:2,linear,4.903678929765886,0.4491106,0.55088943,0.25
1:2,linear,4.919732441471572,0.4491513,0.55084896,0.25
1:2,linear,4.935785953177257,0.44919133,0.5508088,0.25
1:2,linear,4.9518394648829425,0.44923097,0.55076915,0.25
1:2,linear,4.967892976588629,0.44926995,0.55073017,0.25
1:2,linear,4.983946488294314,0.4493083,0.55069196,0.25
1:2,linear,5.0,0.449346,0.55065393,0.25
1:4,linear,0.2,0.26549646,0.7345036,0.25
1:4,linear,0.21605351170568562,0.2667903,0.7332097,0.25
1:4,linear,0.23210702341137124,0.2680778,0.73192227,0.25
1:4,linear,0.24816053511705688,0.2693588,0.73064125,0.25
1:4,linear,0.26421404682274247,0.27063316,0.7293668,0.25
1:4,linear,0.2802675585284281,0.27190095,0.7280991,0.25
1:4,linear,0.2963210702341137,0.27316195,0.726838,0.25
1:4,linear,0.31237458193979933,0.27441618,0.72558385,0.25
1:4,linear,0.328428093645485,0.27566347,0.7243366,0.25
1:4,linear,0.34448160535117056,0.27690378,0.72309625,0.25
1:4,linear,0.36053511705685615,0.27813703,0.721863,0.25
1:4,linear,0.3765886287625418,0.2793632,0.72063684,0.25
1:4,linear,0.39264214046822743,0.28058216,0.7194179,0.25
1:4,linear,0.408695652173913,0.28179383,0.71820617,0.25
1:4,linear,0.42474916387959866,0.2829982,0.71700174,0.25
1:4,linear,0.4408026755852843,0.28419524,0.7158048,0.25
1:4,linear,0.4568561872909699,0.28538483,0.7146152,0.25
1:4,linear,0.4729096989966555,0.2865669,0.71343315,0.25
1:4,linear,0.4889632107023411,0.28774142,0.7122586,0.25
1:4,linear,0.5050167224080268,0.28890833,0.71109176,0.25
1:4,linear,0.5210702341137123,0.29006755,0.7099324,0.25
1:4,linear,0.537123745819398,0.29121912,0.7087808,0.25
1:4,linear,0.5531772575250835,0.29236296,0.7076371,0.25
1:4,linear,0.5692307692307692,0.293499,0.7065011,0.25
1:4,linear,0.5852842809364549,0.29462716,0.7053728,0.25
1:4,linear,0.6013377926421404,0.29574746,0.7042525,0.25
1:4,linear,0.6173913043478261,0.29685986,0.7031401,0.25
1:4,linear,0.6334448160535117,0.29796433,0.70203567,0.25
1:4,linear,0.6494983277591972,0.29906082,0.7009392,0.25
